TMST,TimkenSteel Corp,0.07
NAT,Nordic American Tankers Ltd,0.07
ICFI,ICF International Inc,0.07
MATX,Matson Inc,0.07
HT,Hersha Hospitality Trust,0.07
TPRE,Third Point Reinsurance Ltd,0.07
FFIC,Flushing Financial Corp,0.07
SMCI,Super Micro Computer Inc,0.07
RESI,Altisource Residential Corp,0.07
PEI,Pennsylvania Real Estate Investment Trust,0.07
ATNI,Atlantic Tele-Network Inc,0.07
MTW,Manitowoc Co Inc,0.07
SNR,New Senior Investment Group Inc,0.07
CLDT,Chatham Lodging Trust,0.07
GES,Guess? Inc,0.07
KFY,Korn/Ferry International,0.07
EBSB,Meridian Bancorp Inc,0.07
MTGE,American Capital Mortgage Investment Corp,0.07
OCFC,OceanFirst Financial Corp,0.07
GPRO,GoPro Inc,0.07
ATW,Atwood Oceanics Inc,0.07
SRCE,1st Source Corp,0.07
TCBK,TriCo Bancshares,0.07
AVX,AVX Corp,0.07
IRDM,Iridium Communications Inc,0.07
CASH,Meta Financial Group Inc,0.07
PPBI,Pacific Premier Bancorp Inc,0.07
ICUI,ICU Medical Inc,0.07
BANF,BancFirst Corp,0.07
JACK,Jack in the Box Inc,0.07
SBY,Silver Bay Realty Trust Corp,0.07
IRET,Investors Real Estate Trust,0.07
NYMT,New York Mortgage Trust Inc,0.07
TRST,TrustCo Bank Corp NY,0.07
CBZ,CBIZ Inc,0.07
FOSL,Fossil Group Inc,0.07
NWLI,National Western Life Insurance Co,0.07
EXPR,Express Inc,0.07
PLAB,Photronics Inc,0.07
HFWA,Heritage Financial Corp/WA,0.07
LHCG,LHC Group Inc,0.07
CNOB,ConnectOne Bancorp Inc,0.07
IBTX,Independent Bank Group Inc,0.07
CACQ,Caesars Acquisition Co,0.07
CCC,Calgon Carbon Corp,0.07
MSA,MSA Safety Inc,0.07
KND,Kindred Healthcare Inc,0.07
SBCF,Seacoast Banking Corp of Florida,0.07
CTS,CTS Corp,0.07
CTBI,Community Trust Bancorp Inc,0.07
RTRX,Retrophin Inc,0.07
HIFR,InfraREIT Inc,0.07
PJT,PJT PARTNERS INC CLASS A,0.07
