DGRO,3.1E9
ERIE,Erie Indemnity Co,0.02
HOPE,HOPE BANCORP INC,0.02
AFSI,AmTrust Financial Services Inc,0.02
JNS,Janus Capital Group Inc,0.02
POOL,Pool Corp,0.02
HCSG,Healthcare Services Group Inc,0.02
THO,Thor Industries Inc,0.02
WRB,WR Berkley Corp,0.02
NWBI,Northwest Bancshares Inc,0.02
RGLD,Royal Gold Inc,0.02
CBU,Community Bank System Inc,0.02
SXT,Sensient Technologies Corp,0.02
AHL,Aspen Insurance Holdings Ltd,0.02
NWN,Northwest Natural Gas Co,0.02
EAT,Brinker International Inc,0.02
SBGI,Sinclair Broadcast Group Inc,0.02
EE,El Paso Electric Co,0.02
JW.A,John Wiley & Sons Inc,0.02
MBFI,MB Financial Inc,0.02
MGEE,MGE Energy Inc,0.01
UMBF,UMB Financial Corp,0.01
SCS,Steelcase Inc,0.01
HMN,Horace Mann Educators Corp,0.01
BWXT,BWX Technologies Inc,0.01
MKSI,MKS Instruments Inc,0.01
TXRH,Texas Roadhouse Inc,0.01
ROL,Rollins Inc,0.01
COLB,Columbia Banking System Inc,0.01
HNI,HNI Corp,0.01
CAKE,Cheesecake Factory Inc,0.01
POL,PolyOne Corp,0.01
BRC,Brady Corp,0.01
PFS,Provident Financial Services Inc,0.01
PAG,Penske Automotive Group Inc,0.01
ABM,ABM Industries Inc,0.01
LANC,Lancaster Colony Corp,0.01
WST,West Pharmaceutical Services Inc,0.01
MLHR,Herman Miller Inc,0.01
WSBC,WesBanco Inc,0.01
WABC,Westamerica Bancorporation,0.01
BOKF,BOK Financial Corp,0.01
UBSH,Union Bankshares Corp,0.01
CHS,Chico's FAS Inc,0.01
AWR,American States Water Co,0.01
CWT,California Water Service Group,0.01
WLK,Westlake Chemical Corp,0.01
CASY,Casey's General Stores Inc,0.01
JLL,Jones Lang LaSalle Inc,0.01
LFUS,Littelfuse Inc,0.01
WAB,Wabtec Corp/DE,0.01
KALU,Kaiser Aluminum Corp,0.01
GK,G&K Services Inc,0.01
SLGN,Silgan Holdings Inc,0.01
SSB,South State Corp,0.01
WOR,Worthington Industries Inc,0.01
INDB,Independent Bank Corp/Rockland MA,0.01
RLI,RLI Corp,0.01
FUL,HB Fuller Co,0.01
CVG,Convergys Corp,0.01
TOWN,Towne Bank/Portsmouth VA,0.01
B,Barnes Group Inc,0.01
MATX,Matson Inc,0.01
PRI,Primerica Inc,0.01
EVER,EverBank Financial Corp,0.01
BF.A,Brown-Forman Corp,0.01
WEN,Wendy's Co,0.01
HRC,Hill-Rom Holdings Inc,0.01
HI,Hillenbrand Inc,0.01
SIG,Signet Jewelers Ltd,0.01
TDS,Telephone & Data Systems Inc,0.01
WAFD,Washington Federal Inc,0.01
DSW,DSW Inc,0.01
FFIN,First Financial Bankshares Inc,0.01
MKTX,MarketAxess Holdings Inc,0.01
HOMB,Home BancShares Inc/AR,0.01
ITT,ITT Corp,0.01
AIT,Applied Industrial Technologies Inc,0.01
MSA,MSA Safety Inc,0.01
RBC,Regal Beloit Corp,0.01
SFNC,Simmons First National Corp,0.0
JJSF,J&J Snack Foods Corp,0.0
NSP,Insperity Inc,0.0
LTXB,LegacyTexas Financial Group Inc,0.0
WDFC,WD-40 Co,0.0
DV,DeVry Education Group Inc,0.0
MNRO,Monro Muffler Brake Inc,0.0
RNR,RenaissanceRe Holdings Ltd,0.0
LAD,Lithia Motors Inc,0.0
CNS,Cohen & Steers Inc,0.0
CHE,Chemed Corp,0.0
MATW,Matthews International Corp,0.0
COLM,Columbia Sportswear Co,0.0
AVX,AVX Corp,0.0
KWR,Quaker Chemical Corp,0.0
NP,Neenah Paper Inc,0.0
AIN,Albany International Corp,0.0
GPI,Group 1 Automotive Inc,0.0
APOG,Apogee Enterprises Inc,0.0
MORN,Morningstar Inc,0.0
AZZ,AZZ Inc,0.0
FELE,Franklin Electric Co Inc,0.0
FFG,FBL Financial Group Inc,0.0
ATNI,Atlantic Tele-Network Inc,0.0
BCPC,Balchem Corp,0.0
CNO,CNO Financial Group Inc,0.0
AEL,American Equity Investment Life Holding Co,0.0
HEI,HEICO Corp,0.0
DDS,Dillard's Inc,0.0
CMD,ProShares UltraShort Bloomberg Commodity,0.0
CORE,Core-Mark Holding Co Inc,0.0
